location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20240621T0000,
20240621T0100,
20240621T0200,
20240621T0300,
20240621T0400,
20240621T0500,
20240621T0600,
20240621T0700,
20240621T0800,
20240621T0900,
20240621T1000,
20240621T1100,
20240621T1200,
20240621T1300,
20240621T1400,
20240621T1500,
20240621T1600,
20240621T1700,
20240621T1800,
20240621T1900,
20240621T2000,
20240621T2100,
20240621T2200,
20240621T2300,
20230621T0000,20.230246
20230621T0100,20.120245
20230621T0200,20.180244
20230621T0300,20.340246
20230621T0400,20.270245
20230621T0500,20.560246
20230621T0600,20.810246
20230621T0700,20.510244
20230621T0800,20.180244
20230621T0900,21.780245
20230621T1000,24.130245
20230621T1100,25.910246
20230621T1200,27.450245
20230621T1300,27.750246
20230621T1400,27.660246
20230621T1500,27.160246
20230621T1600,27.220245
20230621T1700,27.360245
20230621T1800,26.580246
20230621T1900,25.160246
20230621T2000,23.330246
20230621T2100,21.820246
20230621T2200,21.400246
20230621T2300,20.270245
20220621T0000,18.810246
20220621T0100,17.940245
20220621T0200,17.520245
20220621T0300,17.300245
20220621T0400,17.170246
20220621T0500,18.030245
20220621T0600,19.040245
20220621T0700,20.550245
20220621T0800,22.690245
20220621T0900,24.670246
20220621T1000,26.410246
20220621T1100,28.290245
20220621T1200,30.130245
20220621T1300,31.610245
20220621T1400,32.730247
20220621T1500,33.600246
20220621T1600,33.730247
20220621T1700,32.400246
20220621T1800,29.390245
20220621T1900,27.630245
20220621T2000,25.250246
20220621T2100,23.260244
20220621T2200,23.960245
20220621T2300,23.760244
20210621T0000,16.270247
20210621T0100,16.880245
20210621T0200,17.080246
20210621T0300,16.890245
20210621T0400,17.090246
20210621T0500,17.650246
20210621T0600,18.870245
20210621T0700,20.170246
20210621T0800,21.620245
20210621T0900,23.150246
20210621T1000,24.680244
20210621T1100,25.740246
20210621T1200,26.890245
20210621T1300,27.580246
20210621T1400,27.590246
20210621T1500,27.010244
20210621T1600,24.420246
20210621T1700,22.560246
20210621T1800,20.380245
20210621T1900,19.760244
20210621T2000,18.870245
20210621T2100,18.450245
20210621T2200,16.970245
20210621T2300,17.210245
20200621T0000,14.930245
20200621T0100,14.080245
20200621T0200,13.030245
20200621T0300,12.510245
20200621T0400,12.590245
20200621T0500,14.300245
20200621T0600,16.520247
20200621T0700,18.570246
20200621T0800,20.280245
20200621T0900,21.640245
20200621T1000,22.320246
20200621T1100,23.180244
20200621T1200,23.610245
20200621T1300,24.250246
20200621T1400,24.460245
20200621T1500,24.900246
20200621T1600,25.100245
20200621T1700,24.930244
20200621T1800,23.700245
20200621T1900,21.300245
20200621T2000,18.690245
20200621T2100,17.620245
20200621T2200,17.240246
20200621T2300,16.810246
20190621T0000,18.310246
20190621T0100,17.870245
20190621T0200,16.470245
20190621T0300,15.970245
20190621T0400,15.470245
20190621T0500,16.910246
20190621T0600,18.080246
20190621T0700,18.520245
20190621T0800,19.600245
20190621T0900,20.230246
20190621T1000,21.310246
20190621T1100,22.170246
20190621T1200,22.490246
20190621T1300,23.070246
20190621T1400,23.520245
20190621T1500,23.580246
20190621T1600,23.860245
20190621T1700,23.730246
20190621T1800,22.560246
20190621T1900,21.440245
20190621T2000,20.270245
20190621T2100,19.740246
20190621T2200,18.920246
20190621T2300,18.040245
20180621T0000,19.680244
20180621T0100,18.850245
20180621T0200,18.260244
20180621T0300,18.140245
20180621T0400,18.260244
20180621T0500,19.700245
20180621T0600,21.560246
20180621T0700,23.670246
20180621T0800,25.120245
20180621T0900,26.720245
20180621T1000,27.770245
20180621T1100,28.370245
20180621T1200,28.710245
20180621T1300,28.660246
20180621T1400,27.950245
20180621T1500,26.520245
20180621T1600,24.890245
20180621T1700,23.600245
20180621T1800,22.490246
20180621T1900,21.600245
20180621T2000,20.310246
20180621T2100,18.890245
20180621T2200,18.090246
20180621T2300,16.710245
20170621T0000,21.350245
20170621T0100,20.650246
20170621T0200,20.110245
20170621T0300,19.620245
20170621T0400,19.660246
20170621T0500,20.940245
20170621T0600,23.500246
20170621T0700,25.610245
20170621T0800,27.660246
20170621T0900,29.410246
20170621T1000,31.260244
20170621T1100,32.250248
20170621T1200,33.140247
20170621T1300,33.830246
20170621T1400,33.750248
20170621T1500,33.850246
20170621T1600,33.820248
20170621T1700,33.120247
20170621T1800,31.630245
20170621T1900,29.090246
